我感到惊讶,High arousal
我感到震惊,High arousal
我很生气,High arousal
我觉得很兴奋,High arousal
我感到害怕,High arousal

我累了,Low arousal
我困了,Low arousal
我感到镇定,Low arousal
我感到满意,Low arousal
我感到沮丧,Low arousal

我感到开心,Positive valence
我很高兴,Positive valence
我很高兴,Positive valence
我感到满意,Positive valence
我觉得很兴奋,Positive valence

我感到很痛苦,Negative valence
我感到沮丧,Negative valence
我很难过,Negative valence
我感到沮丧,Negative valence
我感到害怕,Negative valence

我很惊讶,High arousal
我很震惊,High arousal
我很愤怒,High arousal
我很兴奋,High arousal
恐怕,High arousal

我累了,Low arousal
我困了,Low arousal
我很平静,Low arousal
我很满意,Low arousal
我很郁闷,Low arousal

我很开心,Positive valence
我很满意,Positive valence
我很高兴,Positive valence
我很满意,Positive valence
我很兴奋,Positive valence

我很痛苦,Negative valence
我烦了,Negative valence
我很伤心,Negative valence
我很郁闷,Negative valence
恐怕,Negative valence
