I feel astonished,High arousal
I feel alarmed,High arousal
I feel angry,High arousal
I feel excited,High arousal
I feel afraid,High arousal

I feel tired,Low arousal
I feel sleepy,Low arousal
I feel calm,Low arousal
I feel satisfied,Low arousal
I feel depressed,Low arousal

I feel happy,Positive valence
I feel pleased,Positive valenceH
I feel delighted, Positive valence
I feel satisfied,Positive valence
I feel excited,Positive valence

I feel miserable,Negative valence
I feel frustrated,Negative valence
I feel sad, Negative valence
I feel depressed,Negative valence
I feel afraid,Negative valence

I am astonished,High arousal
I am alarmed,High arousal
I am angry,High arousal
I am excited,High arousal
I am afraid,High arousal

I am tired,Low arousal
I am sleepy,Low arousal
I am calm,Low arousal
I am satisfied,Low arousal
I am depressed,Low arousal

I am happy,Positive valence
I am pleased,Positive valence
I am delighted, Positive valence
I am satisfied,Positive valence
I am excited,Positive valence

I am miserable,Negative valence
I am frustrated,Negative valence
I am sad, Negative valence
I am depressed,Negative valence
I am afraid,Negative valence
