驚いた,High arousal
私は心配していると感じます,High arousal
私は怒っている,High arousal
わくわくしてるよ,High arousal
私は恐れていると感じます,High arousal

私は疲れを感じる,Low arousal
ねむい,Low arousal
落ち着いています,Low arousal
私は満足していると感じています,Low arousal
私は落ち込んでいます,Low arousal

私は幸せを感じます,Positive valence
私は喜んでいると感じます,Positive valence
喜んでいます,Positive valence
私は満足していると感じています,Positive valence
わくわくしてるよ,Positive valence

私は惨めに感じます,Negative valence
イライラします,Negative valence
悲しいな,Negative valence
私は落ち込んでいます,Negative valence
私は恐れていると感じます,Negative valence

私は驚いています,High arousal
私は心配しています,High arousal
怒っている,High arousal
わくわくしてます,High arousal
怖いです,High arousal

私は疲れました,Low arousal
私は眠いです,Low arousal
私は落ち着いています,Low arousal
私は満足しています,Low arousal
私は落ち込んでいます,Low arousal

私は幸せです,Positive valence
私は満足している,Positive valence
私は嬉しく思います,Positive valence
私は満足しています,Positive valence
わくわくしてます,Positive valence

私は悲惨です,Negative valence
私はイライラしています,Negative valence
悲しいです,Negative valence
私は落ち込んでいます,Negative valence
怖いです,Negative valence
